"f_9","Points:0","Points:1","Points:2"
300.09,0.875,0.4375,0
300.09,0.90625,0.4375,0
300.09,0.9375,0.4375,0
300.09,0.96875,0.4375,0
300.09,1,0.4375,0
300.14,0,0.46875,0
300.14,0.03125,0.46875,0
300.14,0.0625,0.46875,0
300.14,0.09375,0.46875,0
300.14,0.125,0.46875,0
300.14,0.15625,0.46875,0
300.13,0.1875,0.46875,0
300.13,0.21875,0.46875,0
300.13,0.25,0.46875,0
300.13,0.28125,0.46875,0
300.12,0.3125,0.46875,0
300.12,0.34375,0.46875,0
300.12,0.375,0.46875,0
300.12,0.40625,0.46875,0
300.11,0.4375,0.46875,0
300.11,0.46875,0.46875,0
300.11,0.5,0.46875,0
300.11,0.53125,0.46875,0
300.11,0.5625,0.46875,0
300.1,0.59375,0.46875,0
300.1,0.625,0.46875,0
300.1,0.65625,0.46875,0
300.1,0.6875,0.46875,0
300.1,0.71875,0.46875,0
300.1,0.75,0.46875,0
300.1,0.78125,0.46875,0
300.09,0.8125,0.46875,0
300.09,0.84375,0.46875,0
300.09,0.875,0.46875,0
300.09,0.90625,0.46875,0
300.09,0.9375,0.46875,0
300.09,0.96875,0.46875,0
300.09,1,0.46875,0
300.15,0,0.5,0
300.15,0.03125,0.5,0
300.15,0.0625,0.5,0
300.15,0.09375,0.5,0
300.15,0.125,0.5,0
300.14,0.15625,0.5,0
300.14,0.1875,0.5,0
300.14,0.21875,0.5,0
300.14,0.25,0.5,0
300.13,0.28125,0.5,0
300.13,0.3125,0.5,0
300.13,0.34375,0.5,0
300.12,0.375,0.5,0
300.12,0.40625,0.5,0
300.12,0.4375,0.5,0
300.12,0.46875,0.5,0
300.11,0.5,0.5,0
300.11,0.53125,0.5,0
300.11,0.5625,0.5,0
300.11,0.59375,0.5,0
300.11,0.625,0.5,0
300.11,0.65625,0.5,0
300.1,0.6875,0.5,0
300.1,0.71875,0.5,0
300.1,0.75,0.5,0
300.1,0.78125,0.5,0
300.1,0.8125,0.5,0
300.1,0.84375,0.5,0
300.1,0.875,0.5,0
300.1,0.90625,0.5,0
300.1,0.9375,0.5,0
300.1,0.96875,0.5,0
300.1,1,0.5,0
300.15,0,0.53125,0
300.15,0.03125,0.53125,0
300.15,0.0625,0.53125,0
300.15,0.09375,0.53125,0
300.15,0.125,0.53125,0
300.15,0.15625,0.53125,0
300.15,0.1875,0.53125,0
300.14,0.21875,0.53125,0
300.14,0.25,0.53125,0
300.14,0.28125,0.53125,0
300.13,0.3125,0.53125,0
300.13,0.34375,0.53125,0
300.13,0.375,0.53125,0
300.13,0.40625,0.53125,0
300.12,0.4375,0.53125,0
300.12,0.46875,0.53125,0
300.12,0.5,0.53125,0
300.12,0.53125,0.53125,0
300.12,0.5625,0.53125,0
300.11,0.59375,0.53125,0
300.11,0.625,0.53125,0
300.11,0.65625,0.53125,0
300.11,0.6875,0.53125,0
300.11,0.71875,0.53125,0
300.11,0.75,0.53125,0
300.1,0.78125,0.53125,0
300.1,0.8125,0.53125,0
300.1,0.84375,0.53125,0
300.1,0.875,0.53125,0
